global,time,population_aged_0_14_years_male_percent,population_aged_0_14_years_female_percent
world,1950,35.10,33.48
world,1951,35.42,33.82
world,1952,35.72,34.13
world,1953,35.97,34.38
world,1954,36.17,34.60
world,1955,36.36,34.80
world,1956,36.78,35.21
world,1957,37.10,35.54
world,1958,37.38,35.83
world,1959,37.66,36.12
world,1960,37.93,36.38
world,1961,38.12,36.58
world,1962,38.35,36.80
world,1963,38.57,37.00
world,1964,38.69,37.12
world,1965,38.70,37.13
world,1966,38.78,37.23
world,1967,38.72,37.19
world,1968,38.57,37.08
world,1969,38.40,36.95
world,1970,38.24,36.83
world,1971,38.15,36.77
world,1972,38.04,36.68
world,1973,37.91,36.57
world,1974,37.74,36.41
world,1975,37.50,36.19
world,1976,37.28,35.98
world,1977,37.00,35.70
world,1978,36.67,35.39
world,1979,36.31,35.04
world,1980,35.96,34.70
world,1981,35.61,34.37
world,1982,35.30,34.05
world,1983,35.00,33.75
world,1984,34.70,33.45
world,1985,34.40,33.15
world,1986,34.22,32.98
world,1987,34.04,32.79
world,1988,33.84,32.60
world,1989,33.65,32.40
world,1990,33.44,32.18
world,1991,33.33,32.06
world,1992,33.14,31.85
world,1993,32.90,31.59
world,1994,32.65,31.32
world,1995,32.40,31.06
world,1996,32.07,30.70
world,1997,31.80,30.42
world,1998,31.54,30.14
world,1999,31.23,29.82
world,2000,30.84,29.41
world,2001,30.51,29.08
world,2002,30.10,28.66
world,2003,29.65,28.21
world,2004,29.22,27.78
world,2005,28.85,27.42
world,2006,28.55,27.12
world,2007,28.29,26.86
world,2008,28.07,26.65
world,2009,27.87,26.46
world,2010,27.67,26.27
world,2011,27.50,26.11
world,2012,27.33,25.95
world,2013,27.16,25.79
world,2014,26.99,25.64
world,2015,26.83,25.50
world,2016,26.68,25.37
world,2017,26.53,25.24
world,2018,26.38,25.12
world,2019,26.22,24.98
world,2020,26.05,24.83
world,2021,25.89,24.69
world,2022,25.71,24.54
world,2023,25.52,24.37
world,2024,25.33,24.19
world,2025,25.12,24.01
world,2026,24.93,23.84
world,2027,24.73,23.67
world,2028,24.53,23.49
world,2029,24.33,23.30
world,2030,24.13,23.11
world,2031,23.95,22.95
world,2032,23.76,22.79
world,2033,23.58,22.62
world,2034,23.40,22.46
world,2035,23.22,22.30
world,2036,23.08,22.17
world,2037,22.94,22.04
world,2038,22.80,21.92
world,2039,22.66,21.79
world,2040,22.53,21.67
world,2041,22.42,21.57
world,2042,22.31,21.47
world,2043,22.20,21.37
world,2044,22.09,21.27
world,2045,21.98,21.17
world,2046,21.89,21.08
world,2047,21.80,21.00
world,2048,21.71,20.91
world,2049,21.61,20.81
world,2050,21.51,20.72
world,2051,21.43,20.64
world,2052,21.34,20.56
world,2053,21.25,20.47
world,2054,21.16,20.38
world,2055,21.06,20.29
world,2056,20.98,20.21
world,2057,20.89,20.12
world,2058,20.80,20.03
world,2059,20.70,19.94
world,2060,20.61,19.85
world,2061,20.52,19.77
world,2062,20.44,19.69
world,2063,20.35,19.60
world,2064,20.26,19.52
world,2065,20.17,19.43
world,2066,20.09,19.35
world,2067,20.02,19.28
world,2068,19.93,19.20
world,2069,19.85,19.12
world,2070,19.76,19.03
world,2071,19.70,18.97
world,2072,19.63,18.90
world,2073,19.55,18.83
world,2074,19.48,18.76
world,2075,19.40,18.68
world,2076,19.34,18.62
world,2077,19.28,18.56
world,2078,19.22,18.49
world,2079,19.15,18.43
world,2080,19.08,18.35
world,2081,19.02,18.30
world,2082,18.96,18.24
world,2083,18.90,18.18
world,2084,18.83,18.11
world,2085,18.76,18.04
world,2086,18.71,17.98
world,2087,18.65,17.92
world,2088,18.59,17.86
world,2089,18.52,17.79
world,2090,18.45,17.72
world,2091,18.39,17.66
world,2092,18.33,17.60
world,2093,18.27,17.53
world,2094,18.20,17.46
world,2095,18.13,17.39
world,2096,18.07,17.33
world,2097,18.02,17.28
world,2098,17.95,17.21
world,2099,17.89,17.15
world,2100,17.82,17.08
