time,population_aged_0_14_years_total_number
1950,869608402
1951,894525669
1952,918752288
1953,941848073
1954,964174065
1955,986623015
1956,1015821282
1957,1043503485
1958,1071058198
1959,1099156273
1960,1127639029
1961,1154812959
1962,1183876883
1963,1213303263
1964,1241038926
1965,1266378283
1966,1295163405
1967,1320460045
1968,1343469277
1969,1366098183
1970,1389142603
1971,1414505180
1972,1439140782
1973,1462758649
1974,1484319403
1975,1503115525
1976,1521934957
1977,1537631378
1978,1550893654
1979,1563009077
1980,1574981432
1981,1587605699
1982,1601221922
1983,1615549827
1984,1630220955
1985,1645354627
1986,1666976627
1987,1688474482
1988,1709698720
1989,1729900403
1990,1748100529
1991,1770363779
1992,1787028985
1993,1799890655
1994,1811467156
1995,1822874030
1996,1828546508
1997,1837285305
1998,1846250098
1999,1851407972
2000,1851318508
2001,1854342857
2002,1851861759
2003,1846301655
2004,1841924869
2005,1841053373
2006,1843909136
2007,1849740044
2008,1858083508
2009,1867330550
2010,1876541258
2011,1887867080
2012,1898774879
2013,1909473270
2014,1920318764
2015,1931325748
2016,1942969092
2017,1954454947
2018,1965418042
2019,1975272955
2020,1983648626
2021,1991982019
2022,1998770868
2023,2004050708
2024,2008079049
2025,2011052228
2026,2014439910
2027,2016953132
2028,2018587238
2029,2019381535
2030,2019462324
2031,2021260170
2032,2022328828
2033,2022886377
2034,2023194996
2035,2023398480
2036,2025726662
2037,2027822531
2038,2029741163
2039,2031469910
2040,2032980868
2041,2036219002
2042,2039235533
2043,2041948839
2044,2044213669
2045,2045919262
2046,2049130119
2047,2051691550
2048,2053614853
2049,2054941208
2050,2055658801
2051,2057608928
2052,2058980788
2053,2059688945
2054,2059637941
2055,2058780160
2056,2059139150
2057,2058745070
2058,2057630911
2059,2055872637
2060,2053503765
2061,2052414805
2062,2050870044
2063,2048815892
2064,2046175112
2065,2042900216
2066,2041157970
2067,2038872373
2068,2036073873
2069,2032815878
2070,2029100548
2071,2026936392
2072,2024451490
2073,2021563518
2074,2018181027
2075,2014256147
2076,2011886686
2077,2009087742
2078,2005829332
2079,2002077349
2080,1997771732
2081,1994848855
2082,1991482855
2083,1987658048
2084,1983321145
2085,1978360880
2086,1974692528
2087,1970652946
2088,1966087865
2089,1960876021
2090,1954967450
2091,1950526199
2092,1945574914
2093,1940094858
2094,1934076700
2095,1927483511
2096,1922421021
2097,1916974297
2098,1911075613
2099,1904665999
2100,1897704615
